timeStamp,blockNumber,blockReward
2016-05-29 19:41:57,1607930,5000000000000000000
2016-05-29 14:03:54,1606514,5212645918804117462
2016-05-29 06:10:48,1604562,5174225218000000000
2016-05-29 01:20:54,1603323,5000420000000000000
2016-05-29 00:56:43,1603240,5002310000000000000
2016-05-28 20:05:56,1601974,5001539304288179000
2016-05-28 14:48:56,1600671,5001050000000000000
2016-05-28 12:03:22,1599944,5008605520000000000
2016-05-28 03:48:34,1597945,5001826880000000000
2016-05-28 02:06:46,1597517,5003076648098076730
2016-05-27 12:52:55,1594173,5000420000000000000
2016-05-27 09:31:40,1593323,5034511360000000000
2016-05-27 07:58:54,1592919,5000000000000000000
2016-05-27 04:32:19,1592038,5002100000000000000
2016-05-26 21:19:24,1590264,5002641710000000000
2016-05-26 21:13:09,1590235,5000861000000000000
2016-05-26 20:32:18,1590058,5001680000000000000
2016-05-26 16:46:19,1589121,5000630000000000000
2016-05-26 08:18:15,1587022,5011740060000000000
2016-05-26 05:25:36,1586276,5005040000000000000
2016-05-25 13:48:55,1582339,5002538438000000000
2016-05-25 10:29:11,1581507,5002100000000000000
2016-05-24 11:56:56,1575872,5005070878000000000
2016-05-24 01:39:57,1573311,5001050000000000000
2016-05-23 23:29:27,1572743,5158752780000000000
2016-05-23 22:45:08,1572543,5000420000000000000
2016-05-23 12:51:06,1570076,5158770000000000000
2016-05-23 09:45:07,1569278,5009030000000000000
2016-05-23 07:30:07,1568737,5000000000000000000
2016-05-23 07:01:06,1568614,5004200000000000000
2016-05-22 22:12:45,1566403,5000000000000000000
2016-05-22 15:01:23,1564617,5000840000000000000
2016-05-22 13:42:23,1564288,5000840000000000000
2016-05-22 08:29:40,1562897,5004200000000042000
2016-05-21 11:15:45,1557637,5003063780000000000
2016-05-21 07:29:27,1556710,5024932060000000000
2016-05-21 06:43:44,1556520,5001680000000000000
2016-05-21 01:47:52,1555278,5001922240000000000
2016-05-20 23:03:40,1554572,5002669500000000000
2016-05-20 22:34:15,1554468,5000420000000000000
2016-05-20 15:27:43,1552626,5000420000000000000
2016-05-20 11:05:22,1551556,5007813560000000000
2016-05-19 22:47:18,1548483,5001221818181801000
2016-05-19 16:34:29,1546920,5312920000000000000
2016-05-19 14:02:51,1546276,5246909927402007572
2016-05-19 06:45:08,1544444,5003150000000000000
2016-05-19 03:36:36,1543644,5011340000000000000
2016-05-19 03:15:43,1543560,5002699200000000000
2016-05-19 03:04:26,1543513,5000000000000000000
2016-05-19 00:18:47,1542822,5001938010000000000
